user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions
1,1,GopinathNagend1,"Hyderabad, India",1080,304,2022-11-08 22:28:05+00:00,61966,0,@isvelan @PrapancaMAnudan Why not ? When @ArvindKejriwal can make wild claims on @ndtv what is wrong ?,[],"[{'screen_name': 'isvelan', 'name': '🇮🇳 SenthilVelan 🇮🇳', 'id': 3194493950, 'id_str': '3194493950', 'indices': [0, 8]}, {'screen_name': 'PrapancaMAnudan', 'name': 'Universal Citizen (Agnipath🇮🇳)', 'id': 19366735, 'id_str': '19366735', 'indices': [9, 25]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [41, 56]}, {'screen_name': 'ndtv', 'name': 'NDTV', 'id': 37034483, 'id_str': '37034483', 'indices': [81, 86]}]"
2,2,pspatilsbi,Bangalore ,325,25,2022-11-08 22:08:44+00:00,2704,0,"This was, this is and....this will be the agenda of great old @INCIndia  God will blees them with end. @INCKarnataka @PTI_News @VishweshwarBhat @publictvnews @RahulGandhi https://t.co/YHoPdN969Q",[],"[{'screen_name': 'INCIndia', 'name': 'Congress', 'id': 1153045459, 'id_str': '1153045459', 'indices': [62, 71]}, {'screen_name': 'INCKarnataka', 'name': 'Karnataka Congress', 'id': 758572309368098816, 'id_str': '758572309368098816', 'indices': [103, 116]}, {'screen_name': 'PTI_News', 'name': 'Press Trust of India', 'id': 245687754, 'id_str': '245687754', 'indices': [117, 126]}, {'screen_name': 'VishweshwarBhat', 'name': 'Vishweshwar Bhat', 'id': 228420453, 'id_str': '228420453', 'indices': [127, 143]}, {'screen_name': 'publictvnews', 'name': 'PublicTV', 'id': 471911020, 'id_str': '471911020', 'indices': [144, 157]}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': 3171712086, 'id_str': '3171712086', 'indices': [158, 170]}]"
3,3,ththegde,"Kandivali East, Mumbai",582,57,2022-11-08 22:00:49+00:00,1969,0,@PMOIndia @nsitharaman please allow citizens to buy forex as investment just like digital gold. Forex in rbi kitty but investment by Indians. Can something be done like that ?,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [0, 9]}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': 58243368, 'id_str': '58243368', 'indices': [10, 22]}]"
4,4,ahmed_chowdhary,"Andheri West, Mumbai",30,21,2022-11-08 21:59:32+00:00,332,0,@ANI Downfall of #IndianEconomy I felt In #Mumbai,"[{'text': 'IndianEconomy', 'indices': [17, 31]}, {'text': 'Mumbai', 'indices': [42, 49]}]","[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]"
5,5,rupz_boruah,"Chabua, India",14,33,2022-11-08 21:54:37+00:00,309,0,"Please take necessary action against neurologist #Dr_Dhrubajyoti_Kurmi of AMC,Dibrugarh.He never visits to see patients admitted in AMC. Always seats at private nursing home like sristi and other nursing home at dibrugarh.
@MoHFW_INDIA @himantabiswa @keshab_mahanta @mygovassam","[{'text': 'Dr_Dhrubajyoti_Kurmi', 'indices': [49, 70]}]","[{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [223, 235]}, {'screen_name': 'himantabiswa', 'name': 'Himanta Biswa Sarma', 'id': 131188226, 'id_str': '131188226', 'indices': [236, 249]}, {'screen_name': 'keshab_mahanta', 'name': 'Keshab Mahanta', 'id': 3582144085, 'id_str': '3582144085', 'indices': [250, 265]}, {'screen_name': 'mygovassam', 'name': 'MyGov Assam', 'id': 794958848725372928, 'id_str': '794958848725372928', 'indices': [266, 277]}]"
6,6,iamsaurav93,"New Delhi, India",12,1,2022-11-08 21:37:52+00:00,6,0,"@ArvindKejriwal 😂😂😂😂😂😂
Aayega to bjp",[],"[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [0, 15]}]"
7,7,iamkcns__,"New Delhi, India",71,1,2022-11-08 21:36:16+00:00,1,0,"Earthquake of 5.7 Magnitude tremors felt in Delhi 😮
#earthquake #Delhi  #2022 
@ArvindKejriwal  @AmitShah  @narendramodi  @isro @aajtak  @abvpjnu @ZeeNews  @iamkcns__ https://t.co/uMa7RMSljE","[{'text': 'earthquake', 'indices': [52, 63]}, {'text': 'Delhi', 'indices': [64, 70]}]","[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [79, 94]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [96, 105]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [107, 120]}, {'screen_name': 'isro', 'name': 'ISRO', 'id': 2253142422, 'id_str': '2253142422', 'indices': [122, 127]}, {'screen_name': 'aajtak', 'name': 'AajTak', 'id': 42606652, 'id_str': '42606652', 'indices': [128, 135]}, {'screen_name': 'abvpjnu', 'name': 'ABVP JNU', 'id': 1436136931, 'id_str': '1436136931', 'indices': [137, 145]}, {'screen_name': 'ZeeNews', 'name': 'Zee News', 'id': 461841349, 'id_str': '461841349', 'indices': [146, 154]}, {'screen_name': 'iamkcns__', 'name': '𝐊𝐫𝐢𝐬𝐡𝐧𝐚 𝐍𝐚𝐮𝐡𝐰𝐚𝐫 𝐒𝐢𝐧𝐠𝐡 🦁', 'id': 1556157375509196800, 'id_str': '1556157375509196800', 'indices': [156, 166]}]"
8,8,lazizpizza99,"Jasola Vihar, New Delhi",23,1,2022-11-08 21:28:48+00:00,6,0,I was sleeping and suddenly bed start shaking. Once I ignored it but it keep on shaking like pendulum. Realised strong extreme strong tremor for the first time in my life. Immediately rushed to my parents who were already woke up. #peace #pray @LtGovDelhi @ArvindKejriwal,"[{'text': 'peace', 'indices': [231, 237]}, {'text': 'pray', 'indices': [238, 243]}]","[{'screen_name': 'LtGovDelhi', 'name': 'LG Delhi', 'id': 815473030868545537, 'id_str': '815473030868545537', 'indices': [244, 255]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [256, 271]}]"
9,9,purple_shadow99,India,1139,89,2022-11-08 21:27:58+00:00,552,0,@ANI Tremors felt around the world too,[],"[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]"
10,10,sethi_bideshi,"New Delhi, India",174,25,2022-11-08 21:19:29+00:00,501,0,@shwetasinghkirt @PMOIndia @narendramodi @AmitShah # justice for SSR,[],"[{'screen_name': 'shwetasinghkirt', 'name': 'Shweta Singh Kirti', 'id': 106805025, 'id_str': '106805025', 'indices': [0, 16]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [17, 26]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [27, 40]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [41, 50]}]"
11,11,UtkarshMishra_9,"Noida, India",707,1122,2022-11-08 21:14:55+00:00,5764,0,"@ANI Estimated magnitude 5.7 earthquake

Affected countries: Nepal, India, and China

2 km from Kalukheti, Nepal · 1:57 am

ISRO/Bhuvan

#earthquake #EarthquakePH https://t.co/KbqoTTfULE","[{'text': 'earthquake', 'indices': [137, 148]}, {'text': 'EarthquakePH', 'indices': [149, 162]}]","[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]"
12,12,dr_arpitgupta,"New Delhi, India",90,19,2022-11-08 21:14:26+00:00,73,0,@ANI I'm telling you this Earthquake is the outbreak of a lunar eclipse😂😂😂,[],"[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]"
