user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions
475731308,1588852294682300000.00,Rameshbirla1,Thane,1385,261,2022-11-05 11:14:41+00:00,6998,0,@cachiraggala @IncomeTaxIndia @FinMinIndia @Infosys @SalilParekh @NandanNilekani @PMOIndia The usual stereotype fed answer to every complain without even going through d contents of twits No anwerability or time bound action or reply except this reply gets2everyone Repeated mails hs same answer I get since last 6months Don't ask refunds at all,[],"[{'screen_name': 'cachiraggala', 'name': 'CA Chirag Gala', 'id': 1112968777124233217, 'id_str': '1112968777124233217', 'indices': [0, 13]}, {'screen_name': 'IncomeTaxIndia', 'name': 'Income Tax India', 'id': 4131677414, 'id_str': '4131677414', 'indices': [14, 29]}, {'screen_name': 'FinMinIndia', 'name': 'Ministry of Finance', 'id': 2613904818, 'id_str': '2613904818', 'indices': [30, 42]}, {'screen_name': 'Infosys', 'name': 'Infosys', 'id': 14462907, 'id_str': '14462907', 'indices': [43, 51]}, {'screen_name': 'SalilParekh', 'name': 'Salil Parekh', 'id': 106033315, 'id_str': '106033315', 'indices': [52, 64]}, {'screen_name': 'NandanNilekani', 'name': 'Nandan Nilekani', 'id': 1867843520, 'id_str': '1867843520', 'indices': [65, 80]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [81, 90]}]"
1.55662E+18,1588851962698920000.00,LetareLugun,,85,183,2022-11-05 11:13:22+00:00,21,0,"@BrijSharma1980 @therahulads @CryptoAdsIndia @adscoinofficial @PMOIndia @RBI ""ADS GROUP OF COMPANIES""
CHAK DE INDIA 🇮🇳. 
We Will Gonna Break All the #Crypto World's Record from the Day One We Enter In The World Crypto Market.
Gonna Make History of RECORDS With #ADSCOIN. We Can Because We Have Everything to Beat All.
ADSCOIN THE PRIDE OF INDIA 🇮🇳 .","[{'text': 'Crypto', 'indices': [149, 156]}, {'text': 'ADSCOIN', 'indices': [261, 269]}]","[{'screen_name': 'BrijSharma1980', 'name': 'Brij Sharma', 'id': 1517173208033947648, 'id_str': '1517173208033947648', 'indices': [0, 15]}, {'screen_name': 'therahulads', 'name': 'Rahul bhardwaj', 'id': 1526244437067714564, 'id_str': '1526244437067714564', 'indices': [16, 28]}, {'screen_name': 'CryptoAdsIndia', 'name': 'CryptoAdsIndia', 'id': 1517177942832402435, 'id_str': '1517177942832402435', 'indices': [29, 44]}, {'screen_name': 'adscoinofficial', 'name': 'ADS COIN', 'id': 1515072360319451138, 'id_str': '1515072360319451138', 'indices': [45, 61]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [62, 71]}, {'screen_name': 'RBI', 'name': 'ReserveBankOfIndia', 'id': 478432912, 'id_str': '478432912', 'indices': [72, 76]}]"
2402725758,1588851939064050000.00,shashikapoor010,karkardooma court,226,61,2022-11-05 11:13:16+00:00,285,0,"@esichq If the hospital where the patient is admitted and needs blood or platelets, then does the hospital not have any arrangement for blood?esic hospital Jhilmil Delhi.@PMOIndia ,@CMODelhi ,@AyushmanNHA",[],"[{'screen_name': 'esichq', 'name': 'ESIC - स्वस्थ कार्यबल-समृद्ध भारत', 'id': 2997983990, 'id_str': '2997983990', 'indices': [0, 7]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [170, 179]}, {'screen_name': 'CMODelhi', 'name': 'CMO Delhi', 'id': 1242298980660178951, 'id_str': '1242298980660178951', 'indices': [181, 190]}, {'screen_name': 'AyushmanNHA', 'name': 'National Health Authority (NHA)', 'id': 998797605504200705, 'id_str': '998797605504200705', 'indices': [192, 204]}]"
1.42095E+18,1588851813901790000.00,ChinnasamyPitc2,"Chennai, India",143,27,2022-11-05 11:12:46+00:00,3599,0,"@purnach85329713 @PrCCA_WZ_DOT @DoT_India @devusinh @AshwiniVaishnaw @DOPPW_India @PMOIndia @India_NHRC @DARPG_GoI @CVCIndia @rashtrapatibhvn @DoPTGoI @HMOIndia @MLJ_GoI @NCGG_GoI @DrJitendraSingh @VPSecretariat Hon @India_NHRC, there is no dispute in qualifying service 4 comb service pension.Any govt psu both service more than 10 yrs ,it is eligible 4 comb service pension. I did OCS VSNL both18 yrs,enmass transfer to VSNL from OCS.i reqst NHRC pl provide suitable order to @DOPPW_India. https://t.co/alO7Ff7AWp",[],"[{'screen_name': 'purnach85329713', 'name': 'purna chandra Bandyopadhyay', 'id': 1565792840273145856, 'id_str': '1565792840273145856', 'indices': [0, 16]}, {'screen_name': 'PrCCA_WZ_DOT', 'name': 'Pr. Controller of Communication Accounts West Zone', 'id': 1517072046198788096, 'id_str': '1517072046198788096', 'indices': [17, 30]}, {'screen_name': 'DoT_India', 'name': 'DoT India', 'id': 735362544160886784, 'id_str': '735362544160886784', 'indices': [31, 41]}, {'screen_name': 'devusinh', 'name': 'Devusinh Chauhan', 'id': 591850159, 'id_str': '591850159', 'indices': [42, 51]}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': 852579395315171328, 'id_str': '852579395315171328', 'indices': [52, 68]}, {'screen_name': 'DOPPW_India', 'name': 'DOPPW_India', 'id': 732125067635752961, 'id_str': '732125067635752961', 'indices': [69, 81]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [82, 91]}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': 1231877652715208705, 'id_str': '1231877652715208705', 'indices': [92, 103]}, {'screen_name': 'DARPG_GoI', 'name': 'DARPG, Govt. of India', 'id': 709654273764646912, 'id_str': '709654273764646912', 'indices': [104, 114]}, {'screen_name': 'CVCIndia', 'name': 'CVC, Govt. of India', 'id': 748034548684984321, 'id_str': '748034548684984321', 'indices': [115, 124]}, {'screen_name': 'rashtrapatibhvn', 'name': 'President of India', 'id': 885487044243238912, 'id_str': '885487044243238912', 'indices': [125, 141]}, {'screen_name': 'DoPTGoI', 'name': 'DoPT', 'id': 837248099613487104, 'id_str': '837248099613487104', 'indices': [142, 150]}, {'screen_name': 'HMOIndia', 'name': 'गृहमंत्री कार्यालय, HMO India', 'id': 2541363451, 'id_str': '2541363451', 'indices': [151, 160]}, {'screen_name': 'MLJ_GoI', 'name': 'Ministry of Law and Justice', 'id': 931101273708904448, 'id_str': '931101273708904448', 'indices': [161, 169]}, {'screen_name': 'NCGG_GoI', 'name': 'NCGG, Govt. of India', 'id': 1285955729967308805, 'id_str': '1285955729967308805', 'indices': [170, 179]}, {'screen_name': 'DrJitendraSingh', 'name': 'Dr Jitendra Singh', 'id': 146360682, 'id_str': '146360682', 'indices': [180, 196]}, {'screen_name': 'VPSecretariat', 'name': 'Vice President of India', 'id': 887606425479856128, 'id_str': '887606425479856128', 'indices': [197, 211]}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': 1231877652715208705, 'id_str': '1231877652715208705', 'indices': [216, 227]}, {'screen_name': 'DOPPW_India', 'name': 'DOPPW_India', 'id': 732125067635752961, 'id_str': '732125067635752961', 'indices': [478, 490]}]"
1.5806E+18,1588851614022260000.00,shahrekhass,"Srinagar, Jammu & Kashmir",45,8,2022-11-05 11:11:58+00:00,67,0,"@OfficeOfLGJandK 
Negligence by IGP traffic SSP traffic srinagar 
SP Traffic srinagar 
He will ignor us 
Shiraz chowk srinagar 
Requestb
@AsadamAijaz @SSPTFCSGR @AmitShah @Junaid_Mattu @imrankehwah @WithSheikhImran @PMOIndia @divcommittee @diprjk @GanieKaiser @OfficeOfLGJandK https://t.co/Pe4oV2jmPp",[],"[{'screen_name': 'OfficeOfLGJandK', 'name': 'Office of LG J&K', 'id': 1311622751216562176, 'id_str': '1311622751216562176', 'indices': [0, 16]}, {'screen_name': 'AsadamAijaz', 'name': 'Aijaz Asad', 'id': 596997988, 'id_str': '596997988', 'indices': [137, 149]}, {'screen_name': 'SSPTFCSGR', 'name': 'Traffic City Srinagar.', 'id': 889412953883066369, 'id_str': '889412953883066369', 'indices': [150, 160]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [161, 170]}, {'screen_name': 'Junaid_Mattu', 'name': 'Junaid Azim Mattu', 'id': 2241167263, 'id_str': '2241167263', 'indices': [171, 184]}, {'screen_name': 'imrankehwah', 'name': 'Sheikh Imran', 'id': 3278763811, 'id_str': '3278763811', 'indices': [185, 197]}, {'screen_name': 'WithSheikhImran', 'name': 'With Sheikh Imran', 'id': 1517974811644813312, 'id_str': '1517974811644813312', 'indices': [198, 214]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [215, 224]}, {'screen_name': 'divcommittee', 'name': 'DivComm', 'id': 891747954633175040, 'id_str': '891747954633175040', 'indices': [225, 238]}, {'screen_name': 'diprjk', 'name': 'Information & PR, J&K', 'id': 830669077022531584, 'id_str': '830669077022531584', 'indices': [239, 246]}, {'screen_name': 'GanieKaiser', 'name': 'Kaiser Ganie (KG)', 'id': 980122688684417025, 'id_str': '980122688684417025', 'indices': [247, 259]}, {'screen_name': 'OfficeOfLGJandK', 'name': 'Office of LG J&K', 'id': 1311622751216562176, 'id_str': '1311622751216562176', 'indices': [260, 276]}]"
1.16591E+18,1588851573576600000.00,DeepakMohanGoe1,"Chandigarh, India",146,45,2022-11-05 11:11:49+00:00,1576,0,"Accused of Delhi riots, infact real bastard and leaders of PAAP PARTY @AamAadmiParty @ArvindKejriwal @CMODelhi @CMOHimachal @cmohry 
@CCP59035336 @dipy36 @RotaryIndia @RotaryPeace @RIPolioIndia @HomeAffairsMin https://t.co/gVMYdSh98y",[],"[{'screen_name': 'AamAadmiParty', 'name': 'AAP', 'id': 711694309, 'id_str': '711694309', 'indices': [70, 84]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [85, 100]}, {'screen_name': 'CMODelhi', 'name': 'CMO Delhi', 'id': 1242298980660178951, 'id_str': '1242298980660178951', 'indices': [101, 110]}, {'screen_name': 'CMOHimachal', 'name': 'CMO , Himachal Pradesh', 'id': 194659672, 'id_str': '194659672', 'indices': [111, 123]}, {'screen_name': 'cmohry', 'name': 'CMO Haryana', 'id': 2919390704, 'id_str': '2919390704', 'indices': [124, 131]}, {'screen_name': 'CCP59035336', 'name': 'CCPindia', 'id': 1331096983948337152, 'id_str': '1331096983948337152', 'indices': [133, 145]}, {'screen_name': 'dipy36', 'name': 'Dipy Lawanda', 'id': 219988005, 'id_str': '219988005', 'indices': [146, 153]}, {'screen_name': 'RotaryIndia', 'name': 'Rotary India', 'id': 2599342962, 'id_str': '2599342962', 'indices': [154, 166]}, {'screen_name': 'RotaryPeace', 'name': 'Rotary Peace', 'id': 852203053, 'id_str': '852203053', 'indices': [167, 179]}, {'screen_name': 'RIPolioIndia', 'name': 'RotaryIndiaPolioPlus', 'id': 62793642, 'id_str': '62793642', 'indices': [180, 193]}, {'screen_name': 'HomeAffairsMin', 'name': 'State Ministry Of Home Affairs', 'id': 1099545950203211776, 'id_str': '1099545950203211776', 'indices': [194, 209]}]"
1.4242E+18,1588851456618390000.00,ayushra91682264,"New Delhi, India",3368,249,2022-11-05 11:11:21+00:00,15737,0,"@mansukhmandviya Absolutely correct and no media house  @ndtv  @aajtak  @ABPNews  has the guts to question them ..
And remind him of his responsibility iblity toward their people..",[],"[{'screen_name': 'mansukhmandviya', 'name': 'Dr Mansukh Mandaviya', 'id': 432697203, 'id_str': '432697203', 'indices': [0, 16]}, {'screen_name': 'ndtv', 'name': 'NDTV', 'id': 37034483, 'id_str': '37034483', 'indices': [56, 61]}, {'screen_name': 'aajtak', 'name': 'AajTak', 'id': 42606652, 'id_str': '42606652', 'indices': [63, 70]}, {'screen_name': 'ABPNews', 'name': 'ABP News', 'id': 39240673, 'id_str': '39240673', 'indices': [72, 80]}]"
2885131976,1588851397877190000.00,amithpallavoor1,"Bengaluru South, India",89,9,2022-11-05 11:11:07+00:00,533,0,"There was a lot of fanfare about trial run on a 3 Km stretch buy no news after that. At this rate, Whitefield will find it difficult to have Metro even by 2024. #Nammametro
No work on Suburban Rail as well.
 @BSBommai  @RailMinIndia @murali772 @PMOIndia @cpronammametro","[{'text': 'Nammametro', 'indices': [161, 172]}]","[{'screen_name': 'BSBommai', 'name': 'Basavaraj S Bommai', 'id': 2955117367, 'id_str': '2955117367', 'indices': [208, 217]}, {'screen_name': 'RailMinIndia', 'name': 'Ministry of Railways', 'id': 2602959463, 'id_str': '2602959463', 'indices': [219, 232]}, {'screen_name': 'murali772', 'name': 'Muralidhar Rao', 'id': 48942282, 'id_str': '48942282', 'indices': [233, 243]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [244, 253]}, {'screen_name': 'cpronammametro', 'name': 'ನಮ್ಮ ಮೆಟ್ರೋ', 'id': 977744118, 'id_str': '977744118', 'indices': [254, 269]}]"
1.55662E+18,1588851374233890000.00,LetareLugun,,85,183,2022-11-05 11:11:01+00:00,21,0,"@BrijSharma1980 @therahulads @CryptoAdsIndia @adscoinofficial @PMOIndia @RBI ""ADS GROUP OF COMPANIES""
CHAK DE INDIA 🇮🇳. 
We Will Gonna Break All the #Crypto World's Record from the Day One We Enter In The World Crypto Market.
Gonna Make History of RECORDS With #ADSCOIN. We Can Because We Have Everything to Beat All.
ADSCOIN THE PRIDE OF INDIA 🇮🇳 .","[{'text': 'Crypto', 'indices': [149, 156]}, {'text': 'ADSCOIN', 'indices': [261, 269]}]","[{'screen_name': 'BrijSharma1980', 'name': 'Brij Sharma', 'id': 1517173208033947648, 'id_str': '1517173208033947648', 'indices': [0, 15]}, {'screen_name': 'therahulads', 'name': 'Rahul bhardwaj', 'id': 1526244437067714564, 'id_str': '1526244437067714564', 'indices': [16, 28]}, {'screen_name': 'CryptoAdsIndia', 'name': 'CryptoAdsIndia', 'id': 1517177942832402435, 'id_str': '1517177942832402435', 'indices': [29, 44]}, {'screen_name': 'adscoinofficial', 'name': 'ADS COIN', 'id': 1515072360319451138, 'id_str': '1515072360319451138', 'indices': [45, 61]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [62, 71]}, {'screen_name': 'RBI', 'name': 'ReserveBankOfIndia', 'id': 478432912, 'id_str': '478432912', 'indices': [72, 76]}]"
1.37173E+18,1588851353648260000.00,jda_ug,"Bhopal, India",19,560,2022-11-05 11:10:56+00:00,367,0,"A surprise water cannon attack on doctors at midnight f/b manhandling and arrests- In a peaceful protest! 
Students of Haryana-WE ARE WITH YOU.#shameonharyanagovt #Bond_Free_Bharat 
@cmohry @MoHFW_INDIA https://t.co/fLRGcz5wBc","[{'text': 'shameonharyanagovt', 'indices': [143, 162]}, {'text': 'Bond_Free_Bharat', 'indices': [163, 180]}]","[{'screen_name': 'cmohry', 'name': 'CMO Haryana', 'id': 2919390704, 'id_str': '2919390704', 'indices': [182, 189]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [190, 202]}]"
