S.no.,user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions,textblob_polarity,nltk_compound,avg_sentiment,textblob_sentiment,nltk_sentiment,priority
4,11,11,UtkarshMishra_9,"Noida, India",707,1122,2022-11-08 21:14:55+00:00,5764,0,estimated magnitude earthquake affected country nepal india china kalukheti nepal isro bhuvan,"[{'text': 'earthquake', 'indices': [137, 148]}, {'text': 'EarthquakePH', 'indices': [149, 162]}]","[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]",0,-0.1531,-1,0,-1,0
8,18,18,GirjeshKPatel,"‡§≤‡§ñ‡§®‡§ä, ‡§≠‡§æ‡§∞‡§§",164,988,2022-11-08 20:54:48+00:00,522,0,heavy roorke uttrakhand second horrible moment,"[{'text': 'earthquake', 'indices': [6, 17]}]","[{'screen_name': 'ZeeNews', 'name': 'Zee News', 'id': 461841349, 'id_str': '461841349', 'indices': [65, 73]}, {'screen_name': 'aajtak', 'name': 'AajTak', 'id': 42606652, 'id_str': '42606652', 'indices': [74, 81]}, {'screen_name': 'Republic_Bharat', 'name': '‡§∞‡§ø‡§™‡§¨‡•ç‡§≤‡§ø‡§ï ‡§≠‡§æ‡§∞‡§§', 'id': 938002728898347008, 'id_str': '938002728898347008', 'indices': [82, 98]}, {'screen_name': 'ABPNews', 'name': 'ABP News', 'id': 39240673, 'id_str': '39240673', 'indices': [99, 107]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [108, 117]}]",-0.4,-0.5423,-1,-1,-1,1
10,25,25,TheAnantpandit,"New Delhi, India",409,19,2022-11-08 20:46:16+00:00,152,0,earthquake magnitude occurred ist lat long depth location nepal information download bhookamp app,[],"[{'screen_name': 'Indiametdept', 'name': 'India Meteorological Department', 'id': 719819459381354496, 'id_str': '719819459381354496', 'indices': [199, 212]}, {'screen_name': 'ndmaindia', 'name': 'NDMA India | ‡§∞‡§æ‡§∑‡•ç‡§ü‡•ç‡§∞‡•Ä‡§Ø ‡§Ü‡§™‡§¶‡§æ ‡§™‡•ç‡§∞‡§¨‡§Ç‡§ß‡§® ‡§™‡•ç‡§∞‡§æ‡§ß‡§ø‡§ï‡§∞‡§£ üáÆüá≥', 'id': 2611134289, 'id_str': '2611134289', 'indices': [213, 223]}, {'screen_name': 'Dr_Mishra1966', 'name': 'Dr. O. P. Mishra', 'id': 1437427543267676164, 'id_str': '1437427543267676164', 'indices': [224, 238]}, {'screen_name': 'moesgoi', 'name': 'MoES GoI', 'id': 4515396408, 'id_str': '4515396408', 'indices': [239, 247]}, {'screen_name': 'OfficeOfDrJS', 'name': 'Office of Dr Jitendra Singh', 'id': 1394144790376194049, 'id_str': '1394144790376194049', 'indices': [248, 261]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [262, 271]}, {'screen_name': 'DDNational', 'name': 'Doordarshan National ‡§¶‡•Ç‡§∞‡§¶‡§∞‡•ç‡§∂‡§® ‡§®‡•á‡§∂‡§®‡§≤', 'id': 571878474, 'id_str': '571878474', 'indices': [272, 283]}]",-0.05,0,-1,-1,0,0
11,31,31,kanhagupta21,Allahabad,182,13,2022-11-08 20:38:44+00:00,73,0,horrible ended running outside home safe,[],"[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]",-0.1666667,-0.1531,-1,-1,-1,1
13,42,42,Kunalgupta_voi,,21,1,2022-11-08 20:10:38+00:00,1,0,choking wakeup antismog gun installed watering plant told driver use properly said jitna chalana tha chala diya kuch nhi hona,"[{'text': 'DelhiPollution', 'indices': [253, 268]}, {'text': 'WasteOfTax', 'indices': [269, 280]}]","[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [0, 15]}, {'screen_name': 'AapKaGopalRai', 'name': 'Gopal Rai', 'id': 951833706, 'id_str': '951833706', 'indices': [16, 30]}, {'screen_name': 'byadavbjp', 'name': 'Bhupender Yadav', 'id': 391901721, 'id_str': '391901721', 'indices': [31, 41]}, {'screen_name': 'DMNewDelhi', 'name': 'DM NEW DELHI', 'id': 1107921957662552065, 'id_str': '1107921957662552065', 'indices': [42, 53]}]",0,-0.6597,-1,0,-1,1
17,52,52,atharvrajpanday,"‡§µ‡§æ‡§∞‡§æ‡§£‡§∏‡•Ä, ‡§≠‡§æ‡§∞‡§§ ",2053,2979,2022-11-08 18:45:03+00:00,30785,1,near also called mean temple lean karvat one side leaning temple one leaning temple world,"[{'text': 'RatneshwarTemple', 'indices': [0, 17]}, {'text': 'ManikarnikaGhat', 'indices': [23, 39]}, {'text': 'KashiKarvat', 'indices': [56, 68]}, {'text': 'Kashi', 'indices': [91, 97]}, {'text': 'RatneshwarMahadev', 'indices': [133, 151]}, {'text': 'Varanasi', 'indices': [177, 186]}, {'text': 'Ganga', 'indices': [238, 244]}, {'text': 'Banaras', 'indices': [245, 253]}, {'text': 'IncredibleIndia', 'indices': [254, 270]}]","[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [271, 280]}]",-0.10625,0,-1,-1,0,0
19,54,54,Gurgaon_Central,"Gurgaon, India",172,104,2022-11-08 18:44:13+00:00,530,0,see comment action since election votejeevi buzy gujarat social medium cell useless mcg authority sleeping care one prime location issue ignored sab yaad rakha jayega,[],"[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [82, 97]}, {'screen_name': 'cmohry', 'name': 'CMO Haryana', 'id': 2919390704, 'id_str': '2919390704', 'indices': [99, 106]}]",-0.1222222,-0.1531,-1,-1,-1,1
22,59,59,JackMushik,,36,32,2022-11-08 18:30:32+00:00,6,0,ever travelled mumbai road car pathetic full pothole badly constructed pls reality check making big statement,[],"[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]",-0.3375,-0.7579,-1,-1,-1,0
23,60,60,naudibya,"New Delhi, India",73,94,2022-11-08 18:29:58+00:00,1015,0,forced displacement humanitarian concern also huge setback term development prevent mass migration search food water,"[{'text': 'SaveSoil', 'indices': [95, 104]}, {'text': 'ConsciousPlanet', 'indices': [173, 189]}]","[{'screen_name': 'cpsavesoil', 'name': 'Conscious Planet #SaveSoil', 'id': 1467080747479666691, 'id_str': '1467080747479666691', 'indices': [161, 172]}, {'screen_name': 'SadhguruJV', 'name': 'Sadhguru', 'id': 67611162, 'id_str': '67611162', 'indices': [190, 201]}, {'screen_name': 'UNEP', 'name': 'UN Environment Programme', 'id': 38146999, 'id_str': '38146999', 'indices': [202, 207]}, {'screen_name': 'UNCCD', 'name': 'UN Land and Drought', 'id': 74447139, 'id_str': '74447139', 'indices': [208, 214]}, {'screen_name': 'moefcc', 'name': 'MoEF&CC', 'id': 2615251201, 'id_str': '2615251201', 'indices': [215, 222]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [223, 232]}, {'screen_name': 'FAO', 'name': 'Food and Agriculture Organization', 'id': 19649135, 'id_str': '19649135', 'indices': [233, 237]}]",0.05,-0.1531,-1,1,-1,0
26,68,68,shantaram1956,Mumbai,159,125,2022-11-08 18:11:02+00:00,3503,0,rule law left mah ncp partner mva exhibited real colour culture party law maker disrespect using muscle power assault harass common people must booked provision law,"[{'text': 'Hooliganism', 'indices': [0, 12]}]","[{'screen_name': 'mieknathshinde', 'name': 'Eknath Shinde - ‡§è‡§ï‡§®‡§æ‡§• ‡§∂‡§ø‡§Ç‡§¶‡•á', 'id': 2611325450, 'id_str': '2611325450', 'indices': [42, 57]}, {'screen_name': 'CMOMaharashtra', 'name': 'CMO Maharashtra', 'id': 2597666894, 'id_str': '2597666894', 'indices': [252, 267]}, {'screen_name': 'Dev_Fadnavis', 'name': 'Devendra Fadnavis', 'id': 137780376, 'id_str': '137780376', 'indices': [268, 281]}, {'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [282, 286]}, {'screen_name': 'ndtv', 'name': 'NDTV', 'id': 37034483, 'id_str': '37034483', 'indices': [287, 292]}]",-0.0333333,-0.7964,-1,-1,-1,1
