user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions
2,2,pspatilsbi,Bangalore ,325,25,2022-11-08 22:08:44+00:00,2704,0,agenda great old god blees end,[],"[{'screen_name': 'INCIndia', 'name': 'Congress', 'id': 1153045459, 'id_str': '1153045459', 'indices': [62, 71]}, {'screen_name': 'INCKarnataka', 'name': 'Karnataka Congress', 'id': 758572309368098816, 'id_str': '758572309368098816', 'indices': [103, 116]}, {'screen_name': 'PTI_News', 'name': 'Press Trust of India', 'id': 245687754, 'id_str': '245687754', 'indices': [117, 126]}, {'screen_name': 'VishweshwarBhat', 'name': 'Vishweshwar Bhat', 'id': 228420453, 'id_str': '228420453', 'indices': [127, 143]}, {'screen_name': 'publictvnews', 'name': 'PublicTV', 'id': 471911020, 'id_str': '471911020', 'indices': [144, 157]}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': 3171712086, 'id_str': '3171712086', 'indices': [158, 170]}]"
3,3,ththegde,"Kandivali East, Mumbai",582,57,2022-11-08 22:00:49+00:00,1969,0,please allow citizen buy forex investment like digital gold forex rbi kitty investment indian something done like,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [0, 9]}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': 58243368, 'id_str': '58243368', 'indices': [10, 22]}]"
5,5,rupz_boruah,"Chabua, India",14,33,2022-11-08 21:54:37+00:00,309,0,please take necessary action neurologist amc dibrugarh never visit see patient admitted amc always seat private nursing home like sristi nursing home dibrugarh,"[{'text': 'Dr_Dhrubajyoti_Kurmi', 'indices': [49, 70]}]","[{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [223, 235]}, {'screen_name': 'himantabiswa', 'name': 'Himanta Biswa Sarma', 'id': 131188226, 'id_str': '131188226', 'indices': [236, 249]}, {'screen_name': 'keshab_mahanta', 'name': 'Keshab Mahanta', 'id': 3582144085, 'id_str': '3582144085', 'indices': [250, 265]}, {'screen_name': 'mygovassam', 'name': 'MyGov Assam', 'id': 794958848725372928, 'id_str': '794958848725372928', 'indices': [266, 277]}]"
8,8,lazizpizza99,"Jasola Vihar, New Delhi",23,1,2022-11-08 21:28:48+00:00,6,0,sleeping suddenly bed start shaking ignored keep shaking like pendulum realised strong extreme strong tremor first time life immediately rushed parent already woke,"[{'text': 'peace', 'indices': [231, 237]}, {'text': 'pray', 'indices': [238, 243]}]","[{'screen_name': 'LtGovDelhi', 'name': 'LG Delhi', 'id': 815473030868545537, 'id_str': '815473030868545537', 'indices': [244, 255]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [256, 271]}]"
11,11,UtkarshMishra_9,"Noida, India",707,1122,2022-11-08 21:14:55+00:00,5764,0,estimated magnitude earthquake affected country nepal india china kalukheti nepal isro bhuvan,"[{'text': 'earthquake', 'indices': [137, 148]}, {'text': 'EarthquakePH', 'indices': [149, 162]}]","[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]"
13,13,jibin_ignatious,Delhi,1411,326,2022-11-08 21:07:28+00:00,886,0,yes faridabad felt even sleeping people must risen,[],"[{'screen_name': 'guptarahul801', 'name': 'Adv. Rahul Agrahari', 'id': 156244177, 'id_str': '156244177', 'indices': [0, 14]}, {'screen_name': 'NCS_Earthquake', 'name': 'National Center for Seismology', 'id': 1173512563151142913, 'id_str': '1173512563151142913', 'indices': [15, 30]}, {'screen_name': 'Indiametdept', 'name': 'India Meteorological Department', 'id': 719819459381354496, 'id_str': '719819459381354496', 'indices': [31, 44]}, {'screen_name': 'ndmaindia', 'name': 'NDMA India | राष्ट्रीय आपदा प्रबंधन प्राधिकरण 🇮🇳', 'id': 2611134289, 'id_str': '2611134289', 'indices': [45, 55]}, {'screen_name': 'Dr_Mishra1966', 'name': 'Dr. O. P. Mishra', 'id': 1437427543267676164, 'id_str': '1437427543267676164', 'indices': [56, 70]}, {'screen_name': 'moesgoi', 'name': 'MoES GoI', 'id': 4515396408, 'id_str': '4515396408', 'indices': [71, 79]}, {'screen_name': 'OfficeOfDrJS', 'name': 'Office of Dr Jitendra Singh', 'id': 1394144790376194049, 'id_str': '1394144790376194049', 'indices': [80, 93]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [94, 103]}, {'screen_name': 'DDNational', 'name': 'Doordarshan National दूरदर्शन नेशनल', 'id': 571878474, 'id_str': '571878474', 'indices': [104, 115]}]"
14,14,poojaraj6999,,17,5,2022-11-08 21:05:12+00:00,28,0,like jai hanuman gyan gun sagar,[],"[{'screen_name': 'guptarahul801', 'name': 'Adv. Rahul Agrahari', 'id': 156244177, 'id_str': '156244177', 'indices': [0, 14]}, {'screen_name': 'NCS_Earthquake', 'name': 'National Center for Seismology', 'id': 1173512563151142913, 'id_str': '1173512563151142913', 'indices': [15, 30]}, {'screen_name': 'Indiametdept', 'name': 'India Meteorological Department', 'id': 719819459381354496, 'id_str': '719819459381354496', 'indices': [31, 44]}, {'screen_name': 'ndmaindia', 'name': 'NDMA India | राष्ट्रीय आपदा प्रबंधन प्राधिकरण 🇮🇳', 'id': 2611134289, 'id_str': '2611134289', 'indices': [45, 55]}, {'screen_name': 'Dr_Mishra1966', 'name': 'Dr. O. P. Mishra', 'id': 1437427543267676164, 'id_str': '1437427543267676164', 'indices': [56, 70]}, {'screen_name': 'moesgoi', 'name': 'MoES GoI', 'id': 4515396408, 'id_str': '4515396408', 'indices': [71, 79]}, {'screen_name': 'OfficeOfDrJS', 'name': 'Office of Dr Jitendra Singh', 'id': 1394144790376194049, 'id_str': '1394144790376194049', 'indices': [80, 93]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [94, 103]}, {'screen_name': 'DDNational', 'name': 'Doordarshan National दूरदर्शन नेशनल', 'id': 571878474, 'id_str': '571878474', 'indices': [104, 115]}]"
16,16,drshahid2k5,Pilibhit/Aligarh/Gurgaon/Noida,323,21,2022-11-08 20:58:51+00:00,131,0,yes felt strong tremor hope everyone safe,"[{'text': 'Earthquake', 'indices': [53, 64]}]","[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]"
18,18,GirjeshKPatel,"लखनऊ, भारत",164,988,2022-11-08 20:54:48+00:00,522,0,heavy roorke uttrakhand second horrible moment,"[{'text': 'earthquake', 'indices': [6, 17]}]","[{'screen_name': 'ZeeNews', 'name': 'Zee News', 'id': 461841349, 'id_str': '461841349', 'indices': [65, 73]}, {'screen_name': 'aajtak', 'name': 'AajTak', 'id': 42606652, 'id_str': '42606652', 'indices': [74, 81]}, {'screen_name': 'Republic_Bharat', 'name': 'रिपब्लिक भारत', 'id': 938002728898347008, 'id_str': '938002728898347008', 'indices': [82, 98]}, {'screen_name': 'ABPNews', 'name': 'ABP News', 'id': 39240673, 'id_str': '39240673', 'indices': [99, 107]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [108, 117]}]"
21,21,shaikma38791147,"Gudivada, India",13,1,2022-11-08 20:47:43+00:00,2,0,honorble chief minister please press button give job hospital give salary asking tear release covid budget,"[{'text': 'vijayawada', 'indices': [237, 248]}, {'text': 'government', 'indices': [249, 260]}, {'text': 'hospital', 'indices': [261, 270]}]","[{'screen_name': 'ysjagan', 'name': 'YS Jagan Mohan Reddy', 'id': 2965511647, 'id_str': '2965511647', 'indices': [167, 175]}, {'screen_name': 'AndhraPradeshCM', 'name': 'CMO Andhra Pradesh', 'id': 2687516120, 'id_str': '2687516120', 'indices': [176, 192]}, {'screen_name': 'VidadalaRajini', 'name': 'Rajini Vidadala', 'id': 1032201102773506048, 'id_str': '1032201102773506048', 'indices': [194, 209]}, {'screen_name': 'DelliRao', 'name': 'DelliSwaraRao', 'id': 1018523408500326400, 'id_str': '1018523408500326400', 'indices': [211, 220]}, {'screen_name': 'nivasjanardhan', 'name': 'nivas', 'id': 2925738079, 'id_str': '2925738079', 'indices': [221, 236]}]"
